D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
1971,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1395.0,,0,0.0,27,45150.0,0,0.0,0.0,0.0,12520.0,0.0,0.0,4.0,0.24,1.25,,0.29,0.29,0.6,0.63,1.05,,,,1.0,1.0,1.0,1,2,,,,,10.5,1112530.0,204525.0,1363.5,168.0,2800.0,2800.0,1
1990,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1129.92,,0,0.0,12,25200.0,0,0.0,9600.0,0.0,0.0,52776.0,0.0,2.0,0.3,1.25,0.3,0.42,0.3,0.75,0.55,0.73,,,,1.0,1.0,0.0,0,3,0.05,2.4,,,10.8,592647.0,233910.0,779.7,210.0,2800.0,2800.0,0
1988,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3087.0,0.0,0,0.0,38,95000.0,0,0.0,162000.0,0.0,0.0,10800.0,20160.0,1.0,0.28,1.25,0.28,0.61,0.61,0.7,0.4,0.57,,,,1.0,1.0,1.0,2,7,0.99,12.9,,,18.0,2994707.0,771750.0,3087.0,129.34,4200.0,2800.0,1
1987,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1859.0,0.0,0,0.0,58,69600.0,0,0.0,0.0,0.0,0.0,170400.0,0.0,3.0,0.31,1.25,0.31,0.31,0.22,0.77,0.6,0.77,,,,1.0,1.0,1.0,0,4,0.1,2.4,,,7.2,1476340.0,213750.0,1710.0,143.85,2800.0,2800.0,1
1988,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2259.2,,0,0.0,40,96000.0,3,4320.0,0.0,6480.0,0.0,101280.0,0.0,2.0,0.26,1.25,0.26,0.37,0.37,0.66,0.45,0.68,,,,1.0,1.0,2.0,0,12,0.24,3.9,,,14.6,2131815.0,282400.0,2259.2,156.5,2800.0,2800.0,1
1992,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2546.0,911.0,0,0.0,75,113000.0,0,0.0,0.0,0.0,117795.0,0.0,0.0,4.0,0.24,1.25,0.24,0.33,0.33,0.6,0.78,1.3,,,,1.0,1.0,1.0,0,4,0.07,4.3,,,12.15,5143993.0,629751.0,2472.17,129.9,4200.0,2800.0,0
1956,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,608.85,0.0,0,0.0,22,23760.0,0,0.0,0.0,36000.0,0.0,113472.0,0.0,3.0,0.31,1.25,0.31,0.13,0.13,0.77,0.64,0.83,,,,1.0,1.0,0.0,0,1,0.09,1.8,,,3.6,502784.0,91327.5,608.85,210.0,2800.0,2800.0,1
1968,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2903.0,0.0,0,0.0,50,70000.0,0,0.0,0.0,1660500.0,0.0,6750000.0,0.0,3.0,0.31,1.25,0.31,0.29,0.29,0.77,0.64,0.83,,,,1.0,1.0,0.0,0,6,0.25,2.5,,,10.5,1901200.0,435450.0,2903.0,210.0,2800.0,2800.0,1
1989,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1174.82,,0,0.0,58,199800.0,0,0.0,51480.0,0.0,36480.0,45360.0,0.0,1.0,0.37,1.5,,0.43,0.43,,,,,,,0.0,2.0,0.0,0,2,,,,,11.4,3318601.0,587410.0,1174.82,193.5,2800.0,2800.0,1
1988,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1292.0,0.0,0,0.0,24,28800.0,25,28600.0,0.0,0.0,0.0,138600.0,0.0,3.0,0.41,1.25,0.41,0.31,0.31,1.02,0.93,0.91,,,,1.0,1.0,1.0,0,3,0.05,0.69,,,7.2,916105.0,193800.0,1292.0,204.5,2800.0,2800.0,1
